n,t,x=0.0,x=0.1,x=0.2,x=0.3,x=0.4,x=0.5,x=0.6,x=0.7,x=0.8,x=0.9,x=1.0
14,0.014,0.0,0.19818957246100002,0.391008029151984,0.565349783281176,0.69428119501446,0.74311651466256,0.69428119501446,0.5653497832811759,0.3910080291519839,0.19818957246099994,0.0
15,0.015,0.0,0.19765246088399843,0.3891603588958048,0.5608087490415852,0.6862715858059416,0.73334945073294,0.6862715858059416,0.5608087490415851,0.3891603588958047,0.19765246088399835,0.0
16,0.016,0.0,0.19703800459677923,0.38717440810920223,0.5561901937034428,0.6784330886222059,0.7239338777475404,0.6784330886222057,0.5561901937034427,0.3871744081092021,0.19703800459677914,0.0
17,0.017,0.0,0.1963478444883436,0.385062346317384,0.5515129046358951,0.670758878042863,0.7148337199224735,0.6707588780428629,0.551512904635895,0.3850623463173839,0.19634784448834353,0.0
18,0.018000000000000002,0.0,0.1955845102224133,0.3828359519663311,0.5467924461447408,0.6632417648901273,0.7060187515465514,0.6632417648901272,0.5467924461447407,0.38283595196633097,0.19558451022241322,0.0
19,0.019,0.0,0.19475120337456375,0.38050645720978027,0.5420417286014385,0.6558745316812311,0.6974633542152665,0.655874531681231,0.5420417286014383,0.38050645720978016,0.19475120337456367,0.0
20,0.02,0.0,0.19385160842062904,0.3780844589654244,0.537271481770252,0.6486501336266554,0.6891455897084594,0.6486501336266552,0.5372714817702517,0.3780844589654243,0.19385160842062896,0.0
21,0.021,0.0,0.19288973263304568,0.37557987619142763,0.5324906446754095,0.6415618140491954,0.6810464984920986,0.6415618140491953,0.5324906446754094,0.3755798761914275,0.1928897326330456,0.0
22,0.022,0.0,0.1918697737255793,0.3730019386839876,0.52770668476439,0.6346031655561072,0.673149561603518,0.6346031655561071,0.5277066847643899,0.3730019386839875,0.19186977372557923,0.0
23,0.023,0.0,0.19079601284886222,0.370359196796187,0.5229258582355215,0.6277681570816765,0.6654402823940359,0.6277681570816764,0.5229258582355214,0.3703591967961869,0.19079601284886213,0.0
24,0.024,0.0,0.18967272995870849,0.36765954454538796,0.5181534219762036,0.621051139728297,0.657905857331564,0.6210511397282968,0.5181534219762035,0.36765954454538785,0.1896727299587084,0.0
25,0.025,0.0,0.1885041384215056,0.36491025082980155,0.5133938060083314,0.6144468397134143,0.6505349138109107,0.6144468397134142,0.5133938060083313,0.3649102508298015,0.1885041384215055,0.0
26,0.026000000000000002,0.0,0.18729433582018462,0.36211799510682496,0.5086507538609867,0.6079503437526557,0.6433172989914114,0.6079503437526556,0.5086507538609866,0.36211799510682485,0.18729433582018457,0.0
27,0.027,0.0,0.1860472681668302,0.3592889050535771,0.5039274369747374,0.6015570802873643,0.6362439079436603,0.6015570802873642,0.5039274369747373,0.359288905053577,0.18604726816683015,0.0
28,0.028,0.0,0.18476670503882187,0.3564285945570184,0.49922654811388406,0.5952627987217313,0.629306542412401,0.5952627987217312,0.49922654811388395,0.35642859455701836,0.1847667050388218,0.0
29,0.029,0.0,0.18345622348675933,0.35354220096088534,0.4945503778189822,0.5890635480300135,0.622497793674267,0.5890635480300134,0.4945503778189821,0.3535422009608853,0.18345622348675927,0.0
30,0.03,0.0,0.182119198885496,0.35063442089928243,0.48990087715427566,0.5829556555733357,0.6158109445454163,0.5829556555733356,0.48990087715427555,0.3506344208992824,0.18211919888549594,0.0
31,0.031,0.0,0.18075880119832505,0.3477095443234031,0.4852797093706823,0.5769357066286378,0.6092398867510002,0.5769357066286377,0.48527970937068227,0.34770954432340306,0.180758801198325,0.0
32,0.032,0.0,0.17937799539100036,0.3447714865156232,0.48068829259174994,0.5710005249150785,0.6027790507265277,0.5710005249150784,0.4806882925917499,0.34477148651562317,0.1793779953910003,0.0
33,0.033,0.0,0.1779795449643626,0.3418238180107736,0.4761278352164701,0.5651471542638905,0.5964233455642378,0.5651471542638904,0.47612783521647006,0.34182381801077355,0.17797954496436255,0.0
